,objective_name,solver_name,data_name,idx_rep,stop_val,time,objective_value,objective_duality_gap,env-OMP_NUM_THREADS,platform,platform-architecture,platform-release,platform-version,system-cpus,system-processor,system-ram (GB),version-cuda,version-numpy,version-scipy
23,"SLOPE[fit_intercept=True,q=0.2,reg=0.25]",anderson,breheny[dataset=Rhee2006],0,0,0.0011915829963982105,3.763112848392327,3.235410700204877,,Darwin,arm64,21.4.0,Darwin Kernel Version 21.4.0: Fri Mar 18 00:47:26 PDT 2022; root:xnu-8020.101.4~15/RELEASE_ARM64_T8101,8,Apple M1,8,,"('1.22.4', '')",1.8.1
24,"SLOPE[fit_intercept=True,q=0.2,reg=0.25]",anderson,breheny[dataset=Rhee2006],0,1,0.0016119170031743124,1.592831126255932,0.5851901582263082,,Darwin,arm64,21.4.0,Darwin Kernel Version 21.4.0: Fri Mar 18 00:47:26 PDT 2022; root:xnu-8020.101.4~15/RELEASE_ARM64_T8101,8,Apple M1,8,,"('1.22.4', '')",1.8.1
25,"SLOPE[fit_intercept=True,q=0.2,reg=0.25]",anderson,breheny[dataset=Rhee2006],0,2,0.0016513750015292317,1.483675706721184,0.4639541969494225,,Darwin,arm64,21.4.0,Darwin Kernel Version 21.4.0: Fri Mar 18 00:47:26 PDT 2022; root:xnu-8020.101.4~15/RELEASE_ARM64_T8101,8,Apple M1,8,,"('1.22.4', '')",1.8.1
26,"SLOPE[fit_intercept=True,q=0.2,reg=0.25]",anderson,breheny[dataset=Rhee2006],0,3,0.0017953339993255213,1.4238416943527725,0.39022018973610506,,Darwin,arm64,21.4.0,Darwin Kernel Version 21.4.0: Fri Mar 18 00:47:26 PDT 2022; root:xnu-8020.101.4~15/RELEASE_ARM64_T8101,8,Apple M1,8,,"('1.22.4', '')",1.8.1
27,"SLOPE[fit_intercept=True,q=0.2,reg=0.25]",anderson,breheny[dataset=Rhee2006],0,4,0.002075750002404675,1.3844726101718463,0.3387256895531492,,Darwin,arm64,21.4.0,Darwin Kernel Version 21.4.0: Fri Mar 18 00:47:26 PDT 2022; root:xnu-8020.101.4~15/RELEASE_ARM64_T8101,8,Apple M1,8,,"('1.22.4', '')",1.8.1
28,"SLOPE[fit_intercept=True,q=0.2,reg=0.25]",anderson,breheny[dataset=Rhee2006],0,6,0.0020842079975409433,1.3450394877148661,0.2691202084630342,,Darwin,arm64,21.4.0,Darwin Kernel Version 21.4.0: Fri Mar 18 00:47:26 PDT 2022; root:xnu-8020.101.4~15/RELEASE_ARM64_T8101,8,Apple M1,8,,"('1.22.4', '')",1.8.1
29,"SLOPE[fit_intercept=True,q=0.2,reg=0.25]",anderson,breheny[dataset=Rhee2006],0,9,0.0026330830005463213,1.3169548029871772,0.1937215731447275,,Darwin,arm64,21.4.0,Darwin Kernel Version 21.4.0: Fri Mar 18 00:47:26 PDT 2022; root:xnu-8020.101.4~15/RELEASE_ARM64_T8101,8,Apple M1,8,,"('1.22.4', '')",1.8.1
30,"SLOPE[fit_intercept=True,q=0.2,reg=0.25]",anderson,breheny[dataset=Rhee2006],0,13,0.0033406659931642935,1.302426224140538,0.12839889370657342,,Darwin,arm64,21.4.0,Darwin Kernel Version 21.4.0: Fri Mar 18 00:47:26 PDT 2022; root:xnu-8020.101.4~15/RELEASE_ARM64_T8101,8,Apple M1,8,,"('1.22.4', '')",1.8.1
31,"SLOPE[fit_intercept=True,q=0.2,reg=0.25]",anderson,breheny[dataset=Rhee2006],0,19,0.004301749999285676,1.288239632856788,0.01865883164880633,,Darwin,arm64,21.4.0,Darwin Kernel Version 21.4.0: Fri Mar 18 00:47:26 PDT 2022; root:xnu-8020.101.4~15/RELEASE_ARM64_T8101,8,Apple M1,8,,"('1.22.4', '')",1.8.1
32,"SLOPE[fit_intercept=True,q=0.2,reg=0.25]",anderson,breheny[dataset=Rhee2006],0,28,0.005649124999763444,1.2871193108508647,0.007319177503164909,,Darwin,arm64,21.4.0,Darwin Kernel Version 21.4.0: Fri Mar 18 00:47:26 PDT 2022; root:xnu-8020.101.4~15/RELEASE_ARM64_T8101,8,Apple M1,8,,"('1.22.4', '')",1.8.1
